Продукт,Калорийность,Белки,Жиры,Углеводы
"Ветчина, рубленная, неконсервированная",221 кКал,"16,5 г","16,7 г",0 г
"Говядина, солонина, буханка, заливное",153 кКал,"22,9 г","6,1 г",0 г
"Говядина, солонина, колбаска, приготовленная, копченая",312 кКал,"14,11 г","26,91 г","2,42 г"
"Говядина, солонина, консервированная",250 кКал,"27,1 г","14,93 г",0 г
"Говядина, солонина, копченая, нарубленная",133 кКал,"20,19 г","4,42 г","1,86 г"
"Говядина, солонина, мясо для ланча, заливное",111 кКал,19 г,"3,3 г",0 г
"Говядина, солонина, Пастрома",147 кКал,"21,8 г","5,82 г","0,36 г"
"Говядина, солонина, сушеная",153 кКал,"31,1 г","1,94 г","2,76 г"
"Говядина, сосиски, заранее приготовленные",405 кКал,"15,5 г","37,57 г","0,03 г"
"Говядина, сосиски, свежие, приготовленные",332 кКал,"18,21 г","27,98 г","0,35 г"
Грудинка копчено-запеченная (свинина),514 кКал,10 г,"52,7 г",0 г
Грудинка сырокопченая (свинина),605 кКал,"8,9 г","63,3 г",0 г
"гусь, Паштет, из печени, копченый, консерв.",462 кКал,"11,4 г","43,84 г","4,67 г"
"Зельц, из свинины",157 кКал,"13,83 г","10,9 г",0 г
Колбаса вареная говяжья,165 кКал,15 г,"11,7 г","0,2 г"
Колбаса вареная для завтрака,187 кКал,13 г,"13,9 г","2,4 г"
Колбаса вареная русская,302 кКал,"11,5 г","27,9 г","1,7 г"
"Колбаса вареная, диабетическая",254 кКал,"12,1 г","22,8 г",0 г
"Колбаса вареная, диетическая",170 кКал,"12,1 г","13,5 г",0 г
"Колбаса вареная, докторская",257 кКал,"12,8 г","22,2 г","1,5 г"
"Колбаса вареная, зеленоградская (с мясом утки)",187 кКал,"17,2 г","12,1 г","2,2 г"
"Колбаса вареная, любительская",301 кКал,"12,2 г",28 г,"0,1 г"
"Колбаса вареная, любительская свиная",312 кКал,"12,5 г","29,1 г",0 г
"Колбаса вареная, молочная",252 кКал,"11,7 г","22,8 г","0,2 г"
"Колбаса вареная, отдельная",240 кКал,11 г,21 г,"1,7 г"
"Колбаса вареная, подмосковная (с куриным мясом)",180 кКал,"17,2 г","11,6 г","1,7 г"
"Колбаса вареная, свиная",277 кКал,"10,8 г","25,8 г","0,5 г"
"Колбаса вареная, столовая",234 кКал,"11,1 г","20,2 г","1,8 г"
"Колбаса вареная, телячья",308 кКал,"13,2 г","28,3 г","0,3 г"
"Колбаса вареная, чайная",216 кКал,"11,7 г","18,4 г","1,7 г"
Колбаса варено-копченая московская,406 кКал,"19,1 г","36,6 г","0,2 г"
"Колбаса варено-копченая, любительская",420 кКал,"17,2 г",39 г,"0,2 г"
Колбаса полукопченая одесская,402 кКал,"14,8 г","38,1 г","0,3 г"
"Колбаса полукопченая, армавирская",423 кКал,"15,1 г","40,1 г","0,3 г"
"Колбаса полукопченая, краковская",466 кКал,"16,2 г","44,6 г",0 г
"Колбаса полукопченая, минская",287 кКал,"17,4 г",23 г,"2,7 г"
"Колбаса полукопченая, полтавская",417 кКал,"16,4 г",39 г,0 г
"Колбаса полукопченая, таллинская",373 кКал,"17,1 г","33,8 г","0,2 г"
"Колбаса полукопченая, украинская",376 кКал,"16,5 г","34,4 г",0 г
Колбаса сырокопченая дорожная,498 кКал,17 г,"47,7 г","0,4 г"
Колбаса сырокопченая зернистая,606 кКал,"9,9 г","62,8 г","0,3 г"
Колбаса сырокопченая олимпийская,436 кКал,"21,1 г","39,1 г","0,4 г"
Колбаса сырокопченая свиная,566 кКал,13 г,57 г,"0,2 г"
"Колбаса сырокопченая, брауншвейгская",491 кКал,"27,7 г","42,2 г","0,2 г"
"Колбаса сырокопченая, любительская",514 кКал,"20,9 г","47,8 г",0 г
"Колбаса сырокопченая, московская",473 кКал,"24,8 г","41,5 г",0 г
"Колбаса сырокопченая, столичная",487 кКал,24 г,"43,4 г",0 г
"Колбаса, Берлинская, свинина, говядина",230 кКал,"15,27 г","17,2 г","2,59 г"
"Колбаса, Болонская, говядина, с пониж. содер. натрия",310 кКал,"11,7 г","28,4 г",2 г
"Колбаса, Брауншвейгская, свинина",327 кКал,"14,5 г","28,5 г","3,1 г"
"Колбаса, из свинины и говядины, с сыром чеддер, копченая",296 кКал,"12,89 г","25,84 г","2,13 г"
"Колбаса, итальянская, свинина, вареная",324 кКал,"18,4 г","26,4 г","1,86 г"
"Колбаса, Итальянская, свинина, сырая",290 кКал,"13,9 г","24,26 г","2,97 г"
"Колбаса, итальянская, сладкая, сосиски или сардельки",149 кКал,"16,13 г","8,42 г","2,1 г"
"Колбаса, Кровяная",379 кКал,"14,6 г","34,5 г","1,29 г"
"Колбаса, Ливерная, свинина",326 кКал,"14,1 г","28,5 г","2,2 г"
"Колбаса, польская, говядина с курицей, острая",259 кКал,"17,6 г","19,4 г","3,6 г"
"Колбаса, польская, из индейки и говядины, копченая",226 кКал,"13,1 г","17,6 г","3,9 г"
"Колбаса, польская, из свинины",326 кКал,"14,1 г","28,72 г","1,63 г"
"Колбаса, польская, из свинины и говядины, копченая",301 кКал,"12,07 г","26,56 г","1,98 г"
"Колбаса, свинина, вареная",339 кКал,"19,43 г","28,36 г",0 г
"Колбаса, свинина, говядина, вареная",396 кКал,"13,8 г","36,25 г","2,7 г"
"Колбаса, свинина, сырая",288 кКал,"15,39 г","24,8 г","0,93 г"
"Колбасы, копченые сардельки, из свинины и говядины",320 кКал,12 г,"28,73 г","2,42 г"
"Копченые сардельки, из свинины",309 кКал,"11,98 г","28,23 г","0,94 г"
"Копченые сардельки, из свинины и говядины, …",268 кКал,"13,97 г","21,43 г","3,96 г"
"Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока",313 кКал,"13,28 г","27,61 г","1,92 г"
Корейка копчено-запеченная (свинина),475 кКал,"10,2 г","48,2 г",0 г
Корейка сырокопченая (свинина),469 кКал,"10,5 г","47,4 г",0 г
"Куриные грудки, запеченные в духовке, обезжиренные, нарезка",79 кКал,"16,79 г","0,39 г","2,17 г"
"курица, Паштет, из печени, консерв.",201 кКал,"13,45 г","13,1 г","6,55 г"
"Ливанская болонья, говядина",172 кКал,"19,03 г","10,44 г","0,44 г"
Мясной хлеб ветчинный,256 кКал,"12,9 г","21,8 г","1,9 г"
Мясной хлеб говяжий,263 кКал,"10,5 г","23,9 г","1,4 г"
Мясной хлеб отдельный,246 кКал,12 г,21 г,"2,1 г"
Окорок тамбовский вареный,288 кКал,"14,3 г","25,6 г",0 г
Охотничьи колбаски,463 кКал,"25,3 г",40 г,"0,3 г"
Палочки из бекона и говядины,517 кКал,"29,1 г","44,2 г","0,8 г"
"Пастрома, из индейки",139 кКал,"16,3 г","6,21 г","3,24 г"
"Паштет, из ливерной колбасы",305 кКал,"12,38 г","25,45 г","3,39 г"
"Паштет, с ароматом трюфелей",327 кКал,"11,2 г","28,5 г","6,3 г"
"Пепперони (острое салями), свинина, говядина",504 кКал,"19,25 г","46,28 г","1,18 г"
"Рулет из индейки, белое и темное мясо",149 кКал,"18,14 г","6,99 г","2,12 г"
"Рулет из индейки, белое мясо",106 кКал,"14,81 г","3,77 г","2,2 г"
"Рулет из куриных грудок, запеченный в духовке",134 кКал,"14,59 г","7,65 г","1,79 г"
"Салями, воздушной варки, из говядины",261 кКал,"12,6 г","22,2 г","1,9 г"
"Салями, воздушной варки, из говядины и свинины",336 кКал,"21,85 г","25,9 г","2,4 г"
"Салями, воздушной варки, индюшатина",172 кКал,"19,2 г","9,21 г","1,45 г"
"Салями, из свинины, и говядины, меньше натрия",396 кКал,"15,01 г","30,5 г","15,18 г"
"Салями, итальянская, свинина",425 кКал,"21,7 г",37 г,"1,2 г"
"Салями, сухая или твердая, свинина",407 кКал,"22,58 г","33,72 г","1,6 г"
"Салями, сухая или твердая, свинина, говядина",378 кКал,"21,07 г","31,65 г","0,72 г"
"Сарделька (сосиска), говядина",315 кКал,"11,69 г","28,1 г","2,97 г"
"Сарделька (сосиска), говядина и свинина",305 кКал,"11,53 г","27,64 г","1,72 г"
"Сарделька (сосиска), говядина, свинина, индейка, обезжиринная, 1.6% жира",109 кКал,"12,5 г","1,59 г","11,21 г"
"Сарделька (сосиска), говяжья, разогретая",322 кКал,"11,69 г","29,36 г","2,66 г"
"Сарделька (сосиска), индейка",223 кКал,"12,23 г","17,29 г","3,81 г"
"Сарделька (сосиска), куриная",223 кКал,"15,51 г","16,19 г","2,74 г"
"Сарделька (сосиска), мясная",290 кКал,"10,26 г","25,76 г","4,17 г"
"Сарделька (сосиска), мясная и домашняя птица, маложирная, 2.8% жира",121 кКал,"15,5 г","2,8 г","8,3 г"
"Сарделька (сосиска), мясная, маложирная, 10% жира",140 кКал,12 г,"9,5 г","1,6 г"
"Сарделька (сосиска), мясная, разогретая",278 кКал,"9,77 г","24,31 г","4,9 г"
"Сарделька (сосиска), с низким содерж. Натрия",312 кКал,12 г,"28,51 г","1,8 г"
Сардельки 1 сорта,202 кКал,"10,3 г","17,2 г","1,5 г"
Сардельки говяжьи,215 кКал,"11,4 г","18,2 г","1,3 г"
"Сардельки говяжьи отварные, по 1-394",215 кКал,"11,4 г","18,2 г","1,2 г"
Сардельки свиные,322 кКал,"10,1 г","31,6 г","1,8 г"
"Свинина, Паштет, из ветчины",216 кКал,"8,68 г","15,53 г","10,64 г"
"Свинина, Паштет, ливерный",304 кКал,"15,2 г","25,6 г","2,1 г"
"Свинина, Паштет, с сыром и беконом",245 кКал,"16,18 г","18,53 г","2,28 г"
Сервелат,461 кКал,24 г,"40,5 г","0,2 г"
Сосиски говяжьи,226 кКал,"10,4 г","20,1 г","0,8 г"
"Сосиски говяжьи отварные, по 1-394",225 кКал,"10,4 г",20 г,"0,8 г"
Сосиски столичные,234 кКал,"12,2 г","20,3 г","0,5 г"
"Сосиски, венские, консервированные, из курицы, говядины, и свинины",230 кКал,"10,5 г","19,4 г","2,6 г"
"Сосиски, молочные",261 кКал,11 г,"23,9 г","0,4 г"
"Сосиски, русские",250 кКал,"11,3 г",22 г,"1,7 г"
"Сосиски, свиные",324 кКал,"11,8 г","30,8 г",0 г
"Спред для сэндвичей, паштет, из свинины и говядины",235 кКал,"7,66 г","17,34 г","11,74 г"
"Спред-салат, для сэндвичей, домашняя птица",200 кКал,"11,64 г","13,52 г","7,41 г"
"Чоризо (чорисо), из свинины и говядины",296 кКал,"13,63 г","25,1 г","3,78 г"
