Продукт,Калорийность,Белки,Жиры,Углеводы
"Груши, консервированные в легком сахарном сиропе",57 кКал,"0,19 г","0,03 г","13,57 г"
"Груши, консервированные в насыщенном сахарном сиропе",74 кКал,"0,2 г","0,13 г","17,57 г"
"Груши, консервированные в насыщенном сахарном сиропе, сухой продукт",74 кКал,"0,24 г","0,18 г","16,38 г"
"Груши, консервированные в собственном соку",50 кКал,"0,34 г","0,07 г","11,34 г"
"Груши, консервированные в экстра-легком сахарном сиропе",47 кКал,"0,3 г","0,1 г","10,6 г"
"Груши, консервированные в экстра-насыщенном сахарном сиропе",97 кКал,"0,19 г","0,13 г","23,65 г"
Гуава,68 кКал,"2,55 г","0,95 г","8,92 г"
Гуава земляничная,69 кКал,"0,58 г","0,6 г","11,96 г"
"Гуава, соус, приготовленный",36 кКал,"0,32 г","0,14 г","5,88 г"
"Джамболан (ямболан), сырой",60 кКал,"0,72 г","0,23 г","15,56 г"
"Джекфрут, консервированный в сахарном сиропе",92 кКал,"0,36 г","0,14 г","23,04 г"
"Джекфрут, сырой",95 кКал,"1,72 г","0,64 г","21,75 г"
Дуриан,147 кКал,"1,47 г","5,33 г","23,29 г"
Дыня,35 кКал,"0,6 г","0,3 г","7,4 г"
Дыня белая мускатная,36 кКал,"0,54 г","0,14 г","8,29 г"
"Дыня замороженная, шарики",33 кКал,"0,84 г","0,25 г","7,24 г"
"Дыня зимняя, кассаба",28 кКал,"1,11 г","0,1 г","5,68 г"
"Дыня мускусная, канталупа",34 кКал,"0,84 г","0,19 г","7,26 г"
"Дыня рогатая, (кивано), огурец африканский",44 кКал,"1,78 г","1,26 г","7,56 г"
Ежевика,34 кКал,"1,5 г","0,5 г","4,4 г"
Ежевика,43 кКал,"1,39 г","0,49 г","4,31 г"
Ежевика дикая (Аляска),52 кКал,"0,84 г","1,07 г","6,64 г"
"Ежевика, замороженная, неподслащенная",64 кКал,"1,18 г","0,43 г","10,67 г"
"Ежевика, консервированная в насыщенном сахарном сиропе",92 кКал,"1,31 г","0,14 г","19,7 г"
Жимолость,"41,2 кКал",0 г,0 г,"8,5 г"
Изюм без косточек (из винограда кишмиш),281 кКал,"2,3 г","0,5 г","71,2 г"
Изюм с косточками,296 кКал,"2,52 г","0,54 г","71,67 г"
Изюм с косточками (виноград сушеный),276 кКал,"1,8 г","0,54 г","70,9 г"
"Изюм чёрный без косточек (""коринка"", из винограда Черный Коринф)",290 кКал,"3,43 г","0,22 г","72,58 г"
"Изюм, без косточек",299 кКал,"3,3 г","0,25 г","74,82 г"
"Изюм, золотистый, без косточек",301 кКал,"3,28 г","0,2 г","76,72 г"
Инжир,54 кКал,"0,7 г","0,2 г",12 г
Инжир,74 кКал,"0,75 г","0,3 г","16,28 г"
Инжир сушеный,257 кКал,"3,1 г","0,8 г","57,9 г"
Инжир сушеный,249 кКал,"3,3 г","0,93 г","54,07 г"
"Инжир сушеный, подслащенный",107 кКал,"1,42 г","0,4 г","23,37 г"
"Инжир, консервированный в водной заливке",53 кКал,"0,4 г","0,1 г","11,79 г"
"Инжир, консервированный в легком сахарном сиропе",69 кКал,"0,39 г","0,1 г","16,15 г"
"Инжир, консервированный в насыщенном сахарном сиропе",88 кКал,"0,38 г","0,1 г","20,7 г"
"Инжир, консервированный в экстра-насыщенном сахарном сиропе",107 кКал,"0,38 г","0,1 г","27,86 г"
Ирга,47 кКал,0 г,0 г,"11,4 г"
Калина,"26,3 кКал","0,37 г","1,5 г","6,5 г"
"Карамбола, сырая",31 кКал,"1,04 г","0,33 г","3,93 г"
"Карисса, сырая",62 кКал,"0,5 г","1,3 г","13,63 г"
Келуак (кепаянг),111 кКал,"2,3 г",2 г,"17,7 г"
Киви,47 кКал,"0,8 г","0,4 г","8,1 г"
"Киви Zespri Санголд, новозеландское",63 кКал,"1,02 г","0,28 г","14,39 г"
Киви свежее,61 кКал,"1,14 г","0,52 г","11,66 г"
"Киви, джем",243 кКал,"0,4 г","0,2 г","58,9 г"
"Киви, пюре",47 кКал,"0,8 г","0,4 г","8,2 г"
Кизил,45 кКал,1 г,"0,011 г",9 г
Клементины,47 кКал,"0,85 г","0,15 г","10,32 г"
Клубника,41 кКал,"0,8 г","0,4 г","7,5 г"
Клубника замороженная,35 кКал,"0,43 г","0,11 г","7,03 г"
"Клубника ломтиками, замороженная, подслащенная",96 кКал,"0,53 г","0,13 г","24,02 г"
"Клубника, сырая",32 кКал,"0,67 г","0,3 г","5,68 г"
"Клубничный компот, клубника консервированная в сахарном сиропе",92 кКал,"0,56 г","0,26 г","21,83 г"
Клюква,28 кКал,"0,5 г","0,2 г","3,7 г"
Клюква,46 кКал,"0,46 г","0,13 г","8,37 г"
"Клюква сушеная, подслащенная",308 кКал,"0,17 г","1,09 г","77,5 г"
"Клюквенно-апельсиновый соус, консервированный",178 кКал,"0,3 г","0,1 г","46,2 г"
"Клюквенный соус желеобразный, консервированный, OCEAN SPRAY",160 кКал,"1,05 г","0,04 г","39,61 г"
"Клюквенный соус с цельными ягодами, консервированный, OCEAN SPRAY",158 кКал,"0,75 г","0,05 г","39,2 г"
"Клюквенный соус, консервированный, подслащенный",159 кКал,"0,9 г","0,15 г","39,3 г"
Компот из земляники. Консервы,0 кКал,0 г,0 г,0 г
Компот из слив венгерка. Консервы,96 кКал,"0,5 г","0,1 г","23,9 г"
Компот из слив ренклод. Консервы,86 кКал,"0,3 г",0 г,"21,9 г"
Концентрат малинового сока,221 кКал,"3,04 г","1,34 г","52,09 г"
Кратева священная,69 кКал,"1,5 г","0,1 г","12,3 г"
Крыжовник,45 кКал,"0,7 г","0,2 г","9,1 г"
Крыжовник,44 кКал,"0,88 г","0,58 г","5,88 г"
"Крыжовник, консервированный в легком сахарном сиропе",73 кКал,"0,65 г","0,2 г","16,35 г"
Кумкват,71 кКал,"1,88 г","0,86 г","9,4 г"
Курага (абрикосы сушеные без косточки),232 кКал,"5,2 г","0,3 г",51 г
Лайм,30 кКал,"0,7 г","0,2 г","7,74 г"
Лимон,34 кКал,"0,9 г","0,1 г",3 г
"Лимон без цедры, сырые",29 кКал,"1,1 г","0,3 г","6,52 г"
"Лимонная цедра, сырая",47 кКал,"1,5 г","0,3 г","5,4 г"
"Лимонник китайский, ягоды высушенные с семенами",416 кКал,0 г,"40,3 г","13,3 г"
"Лимонник китайский, ягоды свежие без семян",47 кКал,0 г,0 г,"2,2 г"
Личи,66 кКал,"0,83 г","0,44 г","15,23 г"
"Личи, сушеные",277 кКал,"3,8 г","1,2 г","66,1 г"
"Логанова ягода, мороженная",55 кКал,"1,52 г","0,31 г","7,72 г"
Лонган,60 кКал,"1,31 г","0,1 г","14,04 г"
"Лонган, сушеный",286 кКал,"4,9 г","0,4 г",74 г
Малайское яблоко (Ямбоза),25 кКал,"0,6 г","0,3 г","5,7 г"
Малина,52 кКал,"1,2 г","0,65 г","5,44 г"
Малина,46 кКал,"0,8 г","0,5 г","8,3 г"
Малина дикая (индейцы северных великих равнин),62 кКал,"1,12 г","0,28 г","6,35 г"
"Малина красная, замороженная",56 кКал,"1,15 г","0,81 г","8,25 г"
"Малина красная, замороженная, подслащенная",103 кКал,"0,7 г","0,16 г","21,76 г"
"Малина красная, консервированная в насыщенном сахарном сиропе",91 кКал,"0,83 г","0,12 г","20,06 г"
"Малиновое пюре без семян, без сахара",41 кКал,"1,02 г","0,87 г","7,09 г"
"Малиновое пюре с семенами, без сахара",55 кКал,"1,1 г","0,97 г","7,21 г"
"Мамея (маммея), антильский абрикос, сырой",51 кКал,"0,5 г","0,5 г","9,5 г"
Манго,60 кКал,"0,82 г","0,38 г","13,38 г"
Манго сушеное подслащенное,319 кКал,"2,45 г","1,18 г","76,18 г"
"Мангостан (мангустин), консервированный в сиропе",73 кКал,"0,41 г","0,58 г","16,11 г"
Мандарин,53 кКал,"0,81 г","0,31 г","11,54 г"
Мандарин,38 кКал,"0,8 г","0,2 г","7,5 г"
"Мандарин, консервированный в легком сахарном сиропе",61 кКал,"0,45 г","0,1 г","15,49 г"
"Мандарин, консервированный в собственном соку",37 кКал,"0,62 г","0,03 г","8,87 г"
"Мандарин, консервированный в собственном соку, сухой продукт",38 кКал,"0,75 г","0,04 г","8,21 г"
Мандариновый джем,276 кКал,"0,3 г",0 г,"71,8 г"
Маракуйя (пурпурная гранадилла),97 кКал,"2,2 г","0,7 г","12,98 г"
"Можжевельник, шишкоягоды",130 кКал,0 г,0 г,"28,7 г"
Морошка,40 кКал,"0,8 г","0,9 г","7,4 г"
Морошка (Аляска),51 кКал,"2,4 г","0,8 г","8,6 г"
Мушмула,47 кКал,"0,43 г","0,2 г","10,44 г"
"Нансе фрукт (бирсонима толстолистная), замороженный",73 кКал,"0,66 г","1,16 г","9,47 г"
"Нансе фрукт (бирсонима толстолистная), консервированный в сиропе",95 кКал,"0,56 г","1,28 г","15,79 г"
"Наранхилла, замороженная",25 кКал,"0,44 г","0,22 г","4,8 г"
Нектарин,44 кКал,"1,06 г","0,32 г","8,85 г"
Облепиха,82 кКал,"1,2 г","5,4 г","5,7 г"
Опунция (колючая груша),41 кКал,"0,73 г","0,51 г","5,97 г"
Папайя,43 кКал,"0,47 г","0,26 г","9,12 г"
"Папайя, консервированная в насыщенном сиропе",206 кКал,"0,14 г","0,55 г","54,33 г"
Пектин жидкий,11 кКал,0 г,0 г,0 г
Персик,45 кКал,"0,9 г","0,1 г","9,5 г"
Персик,39 кКал,"0,91 г","0,25 г","8,04 г"
Персик сушеный,254 кКал,3 г,"0,4 г","57,7 г"
"Персики ломтиками, замороженные, подслащенные",94 кКал,"0,63 г","0,13 г","22,18 г"
Персики сушеные,239 кКал,"3,61 г","0,76 г","53,13 г"
Персики сушеные (дегидрированные),325 кКал,"4,89 г","1,03 г","83,18 г"
"Персики сушеные (дегидрированные), тушеные",133 кКал,"2,01 г","0,42 г","34,14 г"
"Персики сушеные, тушеные без сахара",77 кКал,"1,16 г","0,25 г","16,99 г"
"Персики сушеные, тушеные с сахаром",103 кКал,"1,06 г","0,22 г","24,2 г"
"Персики, консервированные в водной заливке",24 кКал,"0,44 г","0,06 г","4,81 г"
"Персики, консервированные в легком сиропе",54 кКал,"0,45 г","0,03 г","13,25 г"
"Персики, консервированные в насыщенном сиропе",74 кКал,"0,45 г","0,1 г","18,64 г"
"Персики, консервированные в насыщенном сиропе, приправленные",75 кКал,"0,41 г","0,1 г","18,78 г"
"Персики, консервированные в насыщенном сиропе, сухой продукт",72 кКал,"0,52 г","0,18 г","17,23 г"
"Персики, консервированные в собственном соку",44 кКал,"0,63 г","0,03 г","10,27 г"
"Персики, консервированные в экстра-легком сиропе",42 кКал,"0,4 г","0,1 г","10,1 г"
"Персики, консервированные в экстра-насыщенном сиропе",96 кКал,"0,47 г","0,03 г","25,06 г"
Персиковый компот. Консервы,88 кКал,"0,3 г","0,1 г","21,6 г"
"Питанга (суринамская вишня), сырая",33 кКал,"0,8 г","0,4 г","7,49 г"
"Плантан (овощной банан) жёлтый, жареный, латинский ресторан",236 кКал,"1,42 г","7,51 г","37,57 г"
"Плантан (овощной банан) жёлтый, приготовленный",155 кКал,"1,52 г","0,16 г","39,17 г"
"Плантан (овощной банан) жёлтый, сырой",122 кКал,"1,3 г","0,35 г","30,19 г"
Плантан (овощной банан) зелёный жареный,309 кКал,"1,5 г","11,81 г","45,67 г"
"Плантан (овощной банан) зелёный, вареный",121 кКал,"1,09 г","0,08 г","26,55 г"
"Плантан (овощной банан) зелёный, сырой",152 кКал,"1,25 г","0,07 г","34,46 г"
"Плоды хлебного дерева, сырые",103 кКал,"1,07 г","0,23 г","22,22 г"
Помело,38 кКал,"0,76 г","0,04 г","8,62 г"
Порошок из плодов баобаба,250 кКал,"3,69 г","0,47 г","35,15 г"
"Рамбутан, консервированный в сахарном сиропе",82 кКал,"0,65 г","0,21 г","19,97 г"
Ревень,21 кКал,"0,9 г","0,2 г","2,74 г"
"Ревень, замороженный, неприготовленный",21 кКал,"0,55 г","0,11 г","3,3 г"
"Ревень, замороженный, приготовленный с сахаром",116 кКал,"0,39 г","0,05 г","29,2 г"
"Розелла, сырая",49 кКал,"0,96 г","0,64 г","11,31 г"
Рябина садовая красная,50 кКал,"1,4 г","0,2 г","8,9 г"
Рябина черноплодная,55 кКал,"1,5 г","0,2 г","10,9 г"
"Саподилла, сырая",83 кКал,"0,44 г","1,1 г","14,66 г"
"Сапота (мармеладный плод), сырая",124 кКал,"1,45 г","0,46 г","26,7 г"
Саусеп (сметанное яблоко) сырой,66 кКал,1 г,"0,3 г","13,54 г"
"Сахарные яблоки (анона), сырые",94 кКал,"2,06 г","0,29 г","19,24 г"
Слива,46 кКал,"0,7 г","0,28 г","10,02 г"
Слива (садовая),49 кКал,"0,8 г","0,3 г","9,6 г"
"Слива вишненосная, алыча",34 кКал,"0,2 г","0,1 г","7,9 г"
"Слива дикая, северо-американская",91 кКал,"0,43 г","0,17 г","15,95 г"
Слива Мирабель (желтая слива),40 кКал,1 г,0 г,"7,5 г"
"Слива синяя, консервированная в водной заливке",41 кКал,"0,39 г","0,01 г","10,13 г"
"Слива синяя, консервированная в легком сахарном сиропе",63 кКал,"0,37 г","0,1 г","15,38 г"
"Слива синяя, консервированная в насыщенном сахарном сиропе",89 кКал,"0,36 г","0,1 г","22,34 г"
"Слива синяя, консервированная в собственном соку",58 кКал,"0,51 г","0,02 г","14,25 г"
"Слива синяя, консервированная в экстра-насыщенном сахарном сиропе",101 кКал,"0,36 г","0,1 г","25,31 г"
"Сливы, консервированные в насыщенном сиропе, сухой продукт",89 кКал,"0,44 г","0,14 г","21,62 г"
Смородина белая,42 кКал,"0,5 г","0,2 г",8 г
Смородина красная,43 кКал,"0,6 г","0,2 г","7,7 г"
Смородина черная,44 кКал,1 г,"0,4 г","7,3 г"
"Смородина черная, европейская",63 кКал,"1,4 г","0,41 г","15,38 г"
"Смородина, красная и белая",56 кКал,"1,4 г","0,2 г","9,5 г"
"Тамаринд, сырой",239 кКал,"2,8 г","0,6 г","57,4 г"
Терн,54 кКал,"1,5 г","0,3 г","9,4 г"
Фейхоа,61 кКал,"0,71 г","0,42 г","8,81 г"
Физалис,53 кКал,"1,9 г","0,7 г","11,2 г"
"Финик, королевский",277 кКал,"1,81 г","0,15 г","68,27 г"
Финики,292 кКал,"2,5 г","0,5 г","69,2 г"
Финики Деглет нур,282 кКал,"2,45 г","0,39 г","67,03 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в водной заливке",32 кКал,"0,42 г","0,05 г","7,51 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в легком сахарном сиропе",57 кКал,"0,4 г","0,07 г","13,93 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в насыщенном сахарном сиропе",73 кКал,"0,39 г","0,07 г","17,91 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в собственном соку",46 кКал,"0,46 г","0,01 г","10,86 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-легком сахарном сиропе",45 кКал,"0,4 г","0,07 г","10,53 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,"0,39 г","0,07 г","21,79 г"
"Фруктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт",70 кКал,"0,47 г","0,1 г","17,1 г"
"Фруктовый салат (ананас, папайя, банан и гуава), консервированный в насыщенном сиропе",86 кКал,"0,41 г","0,1 г","21,06 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в водной заливке",30 кКал,"0,35 г","0,07 г","6,87 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в легком сиропе",58 кКал,"0,34 г","0,07 г","14,14 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в собственном соку",50 кКал,"0,51 г","0,03 г","12,05 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,"0,33 г","0,06 г","21,77 г"
Хурма,67 кКал,"0,5 г","0,4 г","15,3 г"
Хурма виргинская (американская),127 кКал,"0,8 г","0,4 г","33,5 г"
Хурма восточная,70 кКал,"0,58 г","0,19 г","14,99 г"
"Хурма восточная, сушеная",274 кКал,"1,38 г","0,59 г","58,93 г"
Цукаты,322 кКал,"0,34 г","0,07 г","81,14 г"
Черемуха,46 кКал,0 г,0 г,10 г
"Черёмуха виргинская, северо-американская",162 кКал,"3,04 г","1,69 г","13,62 г"
Черешневый компот. Консервы,87 кКал,"0,5 г","0,2 г","20,6 г"
Черешня,63 кКал,"1,06 г","0,2 г","13,91 г"
Черешня,52 кКал,"1,1 г","0,4 г","10,6 г"
"Черешня, консервированная в водной заливке",46 кКал,"0,77 г","0,13 г","10,26 г"
"Черешня, консервированная в легком сиропе",67 кКал,"0,61 г","0,15 г","15,79 г"
"Черешня, консервированная в насыщенном сиропе",83 кКал,"0,6 г","0,15 г","19,87 г"
"Черешня, консервированная в насыщенном сиропе, сухой продукт",83 кКал,"0,73 г","0,21 г","18,77 г"
"Черешня, консервированная в собственном соку",54 кКал,"0,91 г","0,02 г","12,31 г"
"Черешня, консервированная в экстра-насыщенном сиропе",102 кКал,"0,59 г","0,15 г","24,73 г"
Черимойя,75 кКал,"1,57 г","0,68 г","14,71 г"
Черника,57 кКал,"0,74 г","0,33 г","12,09 г"
Черника,44 кКал,"1,1 г","0,6 г","7,6 г"
Черника дикая (Аляска),61 кКал,"1,22 г","0,76 г","9,71 г"
"Черника дикая замороженная, (Аляска)",44 кКал,"0,7 г",0 г,"10,4 г"
"Черника дикая, замороженная",57 кКал,0 г,"0,16 г","9,45 г"
"Черника дикая, консервированная в насыщенном сиропе",107 кКал,"0,56 г","0,34 г","23,42 г"
"Черника сушеная, подслащенная",317 кКал,"2,5 г","2,5 г","72,5 г"
"Черника, замороженная, неподслащенная",51 кКал,"0,42 г","0,64 г","9,47 г"
"Черника, замороженная, подслащенная",85 кКал,"0,4 г","0,13 г","19,75 г"
"Черника, консервированная в легком сахарном сиропе, сухой продукт",88 кКал,"1,04 г","0,4 г","20,06 г"
"Черника, консервированная в насыщенном сахарном сиропе",88 кКал,"0,65 г","0,33 г","20,46 г"
"Черника, сырая (Аляска)",37 кКал,"0,4 г","0,1 г","8,7 г"
Чернослив (слива сушеная),240 кКал,"2,18 г","0,38 г","56,78 г"
Чернослив (слива сушеная),256 кКал,"2,3 г","0,7 г","57,5 г"
"Чернослив (слива сушеная), тушеный без добавления сахара",107 кКал,"0,96 г","0,16 г","24,98 г"
